delta,type,czz_diag,cxx_diag
0.400000,support,0.646200,0.177331
0.500000,novel,0.575000,0.213524
0.600000,support,0.524000,0.240192
0.700000,novel,0.457600,0.272667
0.800000,support,0.395400,0.303250
0.850000,novel,0.386600,0.308367
0.900000,support,0.387800,0.307640
0.950000,support,0.359200,0.322133
1.000000,support,0.331800,0.336748
1.050000,support,0.332600,0.335180
1.100000,support,0.316400,0.343945
1.200000,novel,0.278400,0.363057
1.400000,support,0.255400,0.374678
1.600000,novel,0.219000,0.393725
1.800000,novel,0.219600,0.393410
2.000000,support,0.200200,0.401851
