noise_frac,k_steps,batch_size,train_overlap_avg,test_overlap_avg,test_overlap_min
0.0,10,256,0.9459744606699262,0.95613694190979,0.9192945957183838
0.0,10,1024,0.9665091974394662,0.9738832414150238,0.9608014822006226
0.0,20,256,0.9802971908024379,0.9697223901748657,0.9609686732292175
0.0,20,1024,0.9756366610527039,0.9744045734405518,0.9604275226593018
0.0,30,256,0.9715373430933271,0.9734366089105606,0.9611538648605347
0.0,30,1024,0.9799348626817975,0.9744381159543991,0.9606614708900452
0.1,10,256,0.9747842465128217,0.9711911976337433,0.9609724879264832
0.1,10,1024,0.9791885614395142,0.9741053879261017,0.9603619575500488
0.1,20,256,0.9684602447918483,0.9682157039642334,0.9601982235908508
0.1,20,1024,0.978487457547869,0.9703287333250046,0.960577666759491
0.1,30,256,0.9604946885790143,0.965141698718071,0.9569672346115112
0.1,30,1024,0.9734257544789996,0.9726256877183914,0.9600664377212524
0.2,10,256,0.9709178720201764,0.9633438885211945,0.9558537006378174
0.2,10,1024,0.9800362757274083,0.9744415879249573,0.9607715606689453
0.2,20,256,0.9697068759373256,0.9663745313882828,0.9611864686012268
0.2,20,1024,0.9783552970205035,0.9744394719600677,0.9606918692588806
0.2,30,256,0.9659084847995213,0.9720132350921631,0.960813581943512
0.2,30,1024,0.9788686207362584,0.9726595133543015,0.9593832492828369
0.3,10,256,0.9767388275691441,0.965714618563652,0.9605593085289001
0.3,10,1024,0.9774396419525146,0.9704203605651855,0.9602757096290588
0.3,20,256,0.9712771262441363,0.9614458084106445,0.9478209018707275
0.3,20,1024,0.9778455751282829,0.9711735546588898,0.9605746269226074
0.3,30,256,0.9731558305876595,0.9669044315814972,0.9604877829551697
0.3,30,1024,0.9775240250996181,0.9724742919206619,0.9600040316581726
