h,type,mag_z,mag_x
1.000000e+00,support,9.665000e-01,2.563700e-01
1.500000e+00,novel,9.187500e-01,3.927412e-01
1.800000e+00,novel,8.633750e-01,4.984182e-01
2.000000e+00,novel,8.150000e-01,5.729573e-01
2.200000e+00,novel,7.513750e-01,6.512663e-01
2.400000e+00,novel,6.633750e-01,7.369698e-01
2.600000e+00,novel,5.727500e-01,8.073273e-01
2.800000e+00,novel,4.888750e-01,8.649597e-01
3.000000e+00,novel,4.211250e-01,9.053838e-01
3.200000e+00,novel,3.918750e-01,9.189354e-01
3.400000e+00,novel,3.370000e-01,9.442934e-01
3.600000e+00,novel,3.213750e-01,9.580442e-01
3.800000e+00,novel,3.278750e-01,9.543016e-01
4.000000e+00,support,3.043750e-01,9.625885e-01
4.200000e+00,novel,2.938750e-01,9.672959e-01
4.500000e+00,novel,3.118750e-01,9.644839e-01
5.000000e+00,novel,2.832500e-01,9.719118e-01
5.500000e+00,novel,2.728750e-01,9.749331e-01
6.000000e+00,novel,2.521250e-01,9.857798e-01
6.500000e+00,novel,2.452500e-01,9.881422e-01
7.000000e+00,support,2.361250e-01,9.915832e-01
