n_samples,type,h,overlap,overlap_err,n
2000,novel,1.500000e+00,9.978168e-01,2.663420e-04,3
2000,novel,2.500000e+00,9.814842e-01,3.002908e-03,3
2000,novel,2.800000e+00,9.758030e-01,2.394424e-03,3
2000,novel,3.200000e+00,9.770477e-01,1.812238e-03,3
2000,novel,3.500000e+00,9.799776e-01,1.932139e-03,3
2000,novel,4.500000e+00,9.880956e-01,1.439192e-03,3
2000,novel,5.500000e+00,9.924490e-01,8.297027e-04,3
2000,support,1.000000e+00,9.993119e-01,1.152490e-04,3
2000,support,2.000000e+00,9.939414e-01,1.143847e-03,3
2000,support,3.000000e+00,9.756405e-01,1.923935e-03,3
2000,support,4.000000e+00,9.844667e-01,1.815034e-03,3
2000,support,5.000000e+00,9.908053e-01,1.093459e-03,3
2000,support,6.000000e+00,9.932420e-01,6.410812e-04,3
2000,support,7.000000e+00,9.938544e-01,4.410884e-04,3
5000,novel,1.500000e+00,9.989825e-01,1.209435e-04,3
5000,novel,2.500000e+00,9.934673e-01,3.161925e-04,3
5000,novel,2.800000e+00,9.912814e-01,2.620398e-04,3
5000,novel,3.200000e+00,9.908387e-01,2.573100e-04,3
5000,novel,3.500000e+00,9.912527e-01,4.765075e-04,3
5000,novel,4.500000e+00,9.940934e-01,5.391412e-04,3
5000,novel,5.500000e+00,9.957424e-01,2.776814e-04,3
5000,support,1.000000e+00,9.995193e-01,6.813048e-05,3
5000,support,2.000000e+00,9.976603e-01,1.788051e-04,3
5000,support,3.000000e+00,9.907505e-01,2.973666e-05,3
5000,support,4.000000e+00,9.926957e-01,6.661360e-04,3
5000,support,5.000000e+00,9.950594e-01,3.700201e-04,3
5000,support,6.000000e+00,9.962185e-01,2.284522e-04,3
5000,support,7.000000e+00,9.968205e-01,1.692103e-04,3
20000,novel,1.500000e+00,9.993065e-01,5.012305e-05,3
20000,novel,2.500000e+00,9.977174e-01,1.491767e-04,3
20000,novel,2.800000e+00,9.971550e-01,3.995209e-04,3
20000,novel,3.200000e+00,9.977222e-01,1.079780e-04,3
20000,novel,3.500000e+00,9.980258e-01,1.635058e-04,3
20000,novel,4.500000e+00,9.988341e-01,6.231699e-05,3
20000,novel,5.500000e+00,9.992064e-01,5.652146e-05,3
20000,support,1.000000e+00,9.997281e-01,3.132042e-05,3
20000,support,2.000000e+00,9.990065e-01,4.278943e-05,3
20000,support,3.000000e+00,9.973733e-01,2.739405e-04,3
20000,support,4.000000e+00,9.985091e-01,1.120755e-04,3
20000,support,5.000000e+00,9.990739e-01,5.976868e-05,3
20000,support,6.000000e+00,9.992380e-01,4.824827e-05,3
20000,support,7.000000e+00,9.991003e-01,7.090766e-05,3
