seed,n_samples,h,type,overlap
44,2000,1.000000e+00,support,9.994254e-01
44,2000,1.500000e+00,novel,9.980072e-01
44,2000,2.000000e+00,support,9.956499e-01
44,2000,2.500000e+00,novel,9.871089e-01
44,2000,2.800000e+00,novel,9.808567e-01
44,2000,3.000000e+00,support,9.791893e-01
44,2000,3.200000e+00,novel,9.796414e-01
44,2000,3.500000e+00,novel,9.820155e-01
44,2000,4.000000e+00,support,9.860789e-01
44,2000,4.500000e+00,novel,9.890746e-01
44,2000,5.000000e+00,support,9.911259e-01
44,2000,5.500000e+00,novel,9.924490e-01
44,2000,6.000000e+00,support,9.932420e-01
44,2000,7.000000e+00,support,9.938544e-01
44,5000,1.000000e+00,support,9.995161e-01
44,5000,1.500000e+00,novel,9.989889e-01
44,5000,2.000000e+00,support,9.976603e-01
44,5000,2.500000e+00,novel,9.934673e-01
44,5000,2.800000e+00,novel,9.913760e-01
44,5000,3.000000e+00,support,9.907505e-01
44,5000,3.200000e+00,novel,9.906644e-01
44,5000,3.500000e+00,novel,9.911168e-01
44,5000,4.000000e+00,support,9.926957e-01
44,5000,4.500000e+00,novel,9.940934e-01
44,5000,5.000000e+00,support,9.950594e-01
44,5000,5.500000e+00,novel,9.957424e-01
44,5000,6.000000e+00,support,9.962185e-01
44,5000,7.000000e+00,support,9.968205e-01
44,20000,1.000000e+00,support,9.997627e-01
44,20000,1.500000e+00,novel,9.994097e-01
44,20000,2.000000e+00,support,9.989334e-01
44,20000,2.500000e+00,novel,9.977174e-01
44,20000,2.800000e+00,novel,9.971550e-01
44,20000,3.000000e+00,support,9.973733e-01
44,20000,3.200000e+00,novel,9.976258e-01
44,20000,3.500000e+00,novel,9.978237e-01
44,20000,4.000000e+00,support,9.983895e-01
44,20000,4.500000e+00,novel,9.988341e-01
44,20000,5.000000e+00,support,9.990739e-01
44,20000,5.500000e+00,novel,9.992064e-01
44,20000,6.000000e+00,support,9.992381e-01
44,20000,7.000000e+00,support,9.991003e-01
