h,l,s2,s2_err,type
0.5,1,0.6342692375183105,0.01071695140030508,support
0.5,2,0.6930842399597168,0.0037446324371395883,support
0.5,3,0.698634147644043,0.004465910444644631,support
0.5,4,0.6990413665771484,0.004122660035309786,support
0.5,5,0.6998848915100098,0.004200795361830506,support
0.5,6,0.6991705894470215,0.004301473236110778,support
0.5,7,0.6996746063232422,0.004018085114200557,support
0.5,8,0.6996870040893555,0.004318840938550289,support
0.8,1,0.5069456100463867,0.00829749635177817,support
0.8,2,0.6192722320556641,0.00629099844887969,support
0.8,3,0.6659669876098633,0.010694967210616593,support
0.8,4,0.6871719360351562,0.006606549173795851,support
0.8,5,0.6950631141662598,0.004553259329737633,support
0.8,6,0.7002367973327637,0.003403833630336297,support
0.8,7,0.7019071578979492,0.003266569616392473,support
0.8,8,0.7018680572509766,0.0035906770005105226,support
0.95,1,0.39198255538940424,0.007105443796541481,support
0.95,2,0.5128941535949707,0.009965180038627123,support
0.95,3,0.5654668807983398,0.013616491083254132,support
0.95,4,0.5939579010009766,0.017845382575054514,support
0.95,5,0.619746208190918,0.019962638533912593,support
0.95,6,0.6378765106201172,0.01680138504450421,support
0.95,7,0.6455492973327637,0.014693262812426717,support
0.95,8,0.6470761299133301,0.02076717337487216,support
1.0,1,0.35058593749999994,0.011808939899887584,support
1.0,2,0.4553694725036621,0.021017460110477258,support
1.0,3,0.4988374710083008,0.008289872359914328,support
1.0,4,0.5311708450317383,0.014393445760268788,support
1.0,5,0.5620098114013672,0.011629602440130771,support
1.0,6,0.5736856460571289,0.016066285015563196,support
1.0,7,0.5838322639465332,0.0174108328906474,support
1.0,8,0.5945754051208496,0.016782114409328922,support
1.05,1,0.30413341522216797,0.006806909503446655,support
1.05,2,0.3872499465942383,0.008545654235688406,support
1.05,3,0.4186978340148926,0.009050210792593176,support
1.05,4,0.4573092460632324,0.015251633834778996,support
1.05,5,0.4727363586425781,0.022485558255095812,support
1.05,6,0.4842982292175293,0.016720601346798546,support
1.05,7,0.49269819259643555,0.008471750474161367,support
1.05,8,0.487424373626709,0.016423881979051477,support
1.2,1,0.2016544342041015,0.008673148722154364,support
1.2,2,0.25882482528686523,0.008487756753055332,support
1.2,3,0.2604999542236328,0.01031602357276708,support
1.2,4,0.26812553405761713,0.00751840521181493,support
1.2,5,0.28121423721313477,0.006087866950069622,support
1.2,6,0.2797694206237793,0.008401706195999926,support
1.2,7,0.2801203727722168,0.010664550070063209,support
1.2,8,0.2799978256225586,0.01063453821567737,support
1.5,1,0.11726284027099604,0.006719194840408707,support
1.5,2,0.14014768600463864,0.005587816372480069,support
1.5,3,0.1409621238708496,0.0071690918201941295,support
1.5,4,0.13781499862670893,0.006104956081405835,support
1.5,5,0.14184904098510737,0.002766476312054444,support
1.5,6,0.1421213150024414,0.007048588320981629,support
1.5,7,0.14338636398315424,0.005911478517548063,support
1.5,8,0.14510965347290034,0.0064189674247842185,support
