h,type,overlap_2000,overlap_5000,overlap_20000
1.000000,support,0.999253,0.999651,0.999735
1.500000,novel,0.997791,0.998846,0.999479
2.000000,support,0.995518,0.997723,0.999080
2.500000,novel,0.986059,0.994156,0.998145
2.800000,novel,0.981525,0.991697,0.997459
3.000000,support,0.981149,0.991316,0.997517
3.200000,novel,0.982047,0.991637,0.997772
3.500000,novel,0.984030,0.992294,0.998140
4.000000,support,0.987577,0.993356,0.998622
4.500000,novel,0.990476,0.994316,0.998892
5.000000,support,0.992364,0.995080,0.999027
5.500000,novel,0.993531,0.995679,0.999084
6.000000,support,0.994245,0.996137,0.999107
6.500000,novel,0.994663,0.996473,0.999113
7.000000,support,0.994869,0.996696,0.999086
