h,chi_F,seed,model_file
1.000000e+00,2.462858e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.071429e+00,2.564615e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.142857e+00,2.619925e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.214286e+00,2.762155e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.285714e+00,2.874984e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.357143e+00,2.959067e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.428571e+00,3.056078e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.500000e+00,3.165629e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.571429e+00,3.328013e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.642857e+00,3.415767e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.714286e+00,3.623068e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.785714e+00,3.862395e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.857143e+00,4.175043e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
1.928571e+00,4.530641e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.000000e+00,4.816131e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.071429e+00,5.319120e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.142857e+00,5.811131e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.214286e+00,6.314891e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.285714e+00,6.901225e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.357143e+00,7.093796e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.428571e+00,7.544631e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.500000e+00,7.729180e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.571429e+00,7.556209e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.642857e+00,7.213269e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.714286e+00,6.633524e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.785714e+00,6.133744e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.857143e+00,5.464711e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
2.928571e+00,4.769794e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.000000e+00,4.073061e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.071429e+00,3.406235e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.142857e+00,2.936485e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.214286e+00,2.472222e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.285714e+00,2.060346e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.357143e+00,1.710118e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.428571e+00,1.400639e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.500000e+00,1.156212e-01,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.571429e+00,9.259212e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.642857e+00,7.376336e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.714286e+00,6.084250e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.785714e+00,4.610326e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.857143e+00,3.717391e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
3.928571e+00,2.959173e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.000000e+00,2.338198e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.071429e+00,1.841998e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.142857e+00,1.462845e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.214286e+00,1.195671e-02,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.285714e+00,9.910556e-03,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.357143e+00,8.016109e-03,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.428571e+00,6.710216e-03,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
4.500000e+00,5.842647e-03,42,hyprbm_tfim_4x4_20000_suscept_seed42_20260207_011958.pt
