h,type,mz,mx
1.000000,support,0.967775,0.251037
1.500000,novel,0.907637,0.417060
1.800000,novel,0.842750,0.533022
2.000000,novel,0.776300,0.620100
2.200000,novel,0.697100,0.704913
2.400000,novel,0.605275,0.783245
2.600000,novel,0.511000,0.851402
2.800000,novel,0.428638,0.899905
3.000000,novel,0.377362,0.927246
3.200000,novel,0.342613,0.943565
3.400000,novel,0.324700,0.952553
3.600000,novel,0.319275,0.955439
3.800000,novel,0.313175,0.959130
4.000000,support,0.310762,0.960719
4.200000,novel,0.308387,0.960038
4.500000,novel,0.306925,0.960927
5.000000,novel,0.289813,0.969241
5.500000,novel,0.276938,0.976228
6.000000,novel,0.257325,0.981732
6.500000,novel,0.247812,0.985782
7.000000,support,0.240675,0.988467
