h,mag_z,mag_x
1.000000e+00,9.673142e-01,2.526745e-01
1.206897e+00,9.513442e-01,3.064969e-01
1.413793e+00,9.313913e-01,3.612962e-01
1.620690e+00,9.066848e-01,4.174624e-01
1.827586e+00,8.757971e-01,4.758342e-01
2.034483e+00,8.357645e-01,5.382523e-01
2.241379e+00,7.809396e-01,6.077943e-01
2.448276e+00,7.048939e-01,6.860625e-01
2.655172e+00,6.113922e-01,7.658321e-01
2.862069e+00,5.206076e-01,8.322575e-01
3.068966e+00,4.492429e-01,8.785726e-01
3.275862e+00,3.985403e-01,9.086349e-01
3.482759e+00,3.630613e-01,9.283233e-01
3.689655e+00,3.376625e-01,9.417577e-01
3.896552e+00,3.188668e-01,9.513562e-01
4.103448e+00,3.044966e-01,9.585027e-01
4.310345e+00,2.931889e-01,9.640096e-01
4.517241e+00,2.840702e-01,9.683736e-01
4.724138e+00,2.765634e-01,9.719116e-01
4.931034e+00,2.702749e-01,9.748339e-01
5.137931e+00,2.649287e-01,9.772851e-01
5.344828e+00,2.603258e-01,9.793680e-01
5.551724e+00,2.563197e-01,9.811575e-01
5.758621e+00,2.527998e-01,9.827094e-01
5.965517e+00,2.496816e-01,9.840664e-01
6.172414e+00,2.468990e-01,9.852614e-01
6.379310e+00,2.443999e-01,9.863204e-01
6.586207e+00,2.421424e-01,9.872644e-01
6.793103e+00,2.400927e-01,9.881100e-01
7.000000e+00,2.382228e-01,9.888709e-01
