h,l,type,s2,s2_err
5.000000e-01,1,support,6.342692e-01,1.071695e-02
5.000000e-01,2,support,6.930842e-01,3.744632e-03
5.000000e-01,3,support,6.986341e-01,4.465910e-03
5.000000e-01,4,support,6.990414e-01,4.122660e-03
5.000000e-01,5,support,6.998849e-01,4.200795e-03
5.000000e-01,6,support,6.991706e-01,4.301473e-03
5.000000e-01,7,support,6.996746e-01,4.018085e-03
5.000000e-01,8,support,6.996870e-01,4.318841e-03
8.000000e-01,1,support,5.069456e-01,8.297496e-03
8.000000e-01,2,support,6.192722e-01,6.290998e-03
8.000000e-01,3,support,6.659670e-01,1.069497e-02
8.000000e-01,4,support,6.871719e-01,6.606549e-03
8.000000e-01,5,support,6.950631e-01,4.553259e-03
8.000000e-01,6,support,7.002368e-01,3.403834e-03
8.000000e-01,7,support,7.019072e-01,3.266570e-03
8.000000e-01,8,support,7.018681e-01,3.590677e-03
9.500000e-01,1,support,3.919826e-01,7.105444e-03
9.500000e-01,2,support,5.128942e-01,9.965180e-03
9.500000e-01,3,support,5.654669e-01,1.361649e-02
9.500000e-01,4,support,5.939579e-01,1.784538e-02
9.500000e-01,5,support,6.197462e-01,1.996264e-02
9.500000e-01,6,support,6.378765e-01,1.680139e-02
9.500000e-01,7,support,6.455493e-01,1.469326e-02
9.500000e-01,8,support,6.470761e-01,2.076717e-02
1.000000e+00,1,support,3.505859e-01,1.180894e-02
1.000000e+00,2,support,4.553695e-01,2.101746e-02
1.000000e+00,3,support,4.988375e-01,8.289872e-03
1.000000e+00,4,support,5.311708e-01,1.439345e-02
1.000000e+00,5,support,5.620098e-01,1.162960e-02
1.000000e+00,6,support,5.736856e-01,1.606629e-02
1.000000e+00,7,support,5.838323e-01,1.741083e-02
1.000000e+00,8,support,5.945754e-01,1.678211e-02
1.050000e+00,1,support,3.041334e-01,6.806910e-03
1.050000e+00,2,support,3.872499e-01,8.545654e-03
1.050000e+00,3,support,4.186978e-01,9.050211e-03
1.050000e+00,4,support,4.573092e-01,1.525163e-02
1.050000e+00,5,support,4.727364e-01,2.248556e-02
1.050000e+00,6,support,4.842982e-01,1.672060e-02
1.050000e+00,7,support,4.926982e-01,8.471750e-03
1.050000e+00,8,support,4.874244e-01,1.642388e-02
1.200000e+00,1,support,2.016544e-01,8.673149e-03
1.200000e+00,2,support,2.588248e-01,8.487757e-03
1.200000e+00,3,support,2.605000e-01,1.031602e-02
1.200000e+00,4,support,2.681255e-01,7.518405e-03
1.200000e+00,5,support,2.812142e-01,6.087867e-03
1.200000e+00,6,support,2.797694e-01,8.401706e-03
1.200000e+00,7,support,2.801204e-01,1.066455e-02
1.200000e+00,8,support,2.799978e-01,1.063454e-02
1.500000e+00,1,support,1.172628e-01,6.719195e-03
1.500000e+00,2,support,1.401477e-01,5.587816e-03
1.500000e+00,3,support,1.409621e-01,7.169092e-03
1.500000e+00,4,support,1.378150e-01,6.104956e-03
1.500000e+00,5,support,1.418490e-01,2.766476e-03
1.500000e+00,6,support,1.421213e-01,7.048588e-03
1.500000e+00,7,support,1.433864e-01,5.911479e-03
1.500000e+00,8,support,1.451097e-01,6.418967e-03
